Category,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Grand slams,0,0,0,0,0,1,3,2,3,3,1,2,1,0,1,0,0,0,0,2,1,0
ATP 1000,0,0,0,0,1,0,3,4,4,2,0,2,1,1,3,0,2,1,0,3,0,1
ATP finals,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
National representation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Total titles,0,0,0,1,3,7,11,11,12,8,4,4,5,4,6,1,5,6,0,7,4,4
Win %,40,43,55,70,73,82,93,95,95,88,81,84,83,84,86,73,86,85,75,92,83,84
