Category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Grand slams,0,0,0,0,1,1,1,2,1,3,1,1,2,1,0,0,2,1,2,0
ATP 1000,0,0,0,0,4,2,3,3,3,3,1,2,5,1,0,1,2,3,2,0
ATP finals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National representation,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0
Total titles,0,0,0,1,11,5,6,8,5,7,3,4,10,4,3,2,6,5,4,1
Win %,0,50,56,64,89,83,82,88,83,88,82,88,91,81,75,74,85,92,89,81
