Category,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Grand slams,0,0,0,0,0,1,0,0,3,1,1,1,3,2,0,2,2,1
ATP 1000,0,0,0,0,2,2,1,0,5,3,3,4,6,4,0,2,1,0
ATP Finals,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
National representation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Total titles,0,0,0,2,5,4,5,2,10,6,7,7,11,7,2,4,5,2
Win %,0,40,50,69,78,79,80,77,92,86,89,88,93,88,80,80,84,100
