Category,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Grand slams,0,0,0,0,1,0,0,3,2,0,1,0,1,1,2,2,0,2,2,1,3,1,1,0,0,0
WTA finals,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
National representation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Premier mandatory ,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,3,1,1,0,0,0,0,0
Total titles,0,0,0,0,5,3,3,8,4,2,1,0,2,4,3,2,2,7,11,7,5,2,1,0,0,1
Win %,0,0,64,73,85,82,84,92,93,81,75,75,78,85,81,86,88,94,95,87,95,86,89,75,81,80
